Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,56.730000,56.820000,56.299999,56.540001,52.096821,903700
2019-01-07,56.709999,57.590000,56.410000,57.310001,52.806309,969500
2019-01-08,57.599998,57.810001,56.759998,57.439999,52.926090,944900
2019-01-09,57.590000,58.759998,57.439999,58.689999,54.077862,1512900
2019-01-10,58.349998,59.369999,58.209999,59.240002,54.584641,1295200
2019-01-11,59.110001,59.590000,59.009998,59.500000,54.824207,762100
2019-01-14,59.380001,59.889999,59.070000,59.320000,54.658352,846900
2019-01-15,59.279999,59.490002,58.880001,59.290001,54.630711,765900
2019-01-16,59.560001,60.049999,59.270000,59.830002,55.128273,1197800
2019-01-17,59.650002,60.419998,59.639999,60.180000,55.450768,962000
2019-01-18,60.490002,60.900002,60.470001,60.740002,55.966759,1366100
2019-01-21,60.830002,60.970001,60.500000,60.930000,56.141834,260100
2019-01-22,60.459999,60.709999,59.919998,60.320000,55.579765,907500
2019-01-23,60.330002,60.830002,60.080002,60.509998,55.754829,968200
2019-01-24,60.400002,60.939999,60.209999,60.720001,55.948334,1071900
2019-01-25,60.889999,61.049999,60.570000,60.860001,56.077335,497100
2019-01-28,60.660000,61.349998,60.599998,61.139999,56.335327,4636700
2019-01-29,61.220001,61.610001,61.209999,61.310001,56.491962,1220600
2019-01-30,61.369999,61.689999,61.209999,61.650002,56.805252,663600
2019-01-31,61.590000,61.889999,61.240002,61.799999,56.943466,1097100
2019-02-01,61.630001,62.119999,61.349998,61.849998,56.989529,670100
2019-02-04,62.009998,62.360001,61.750000,62.119999,57.238308,739200
2019-02-05,62.259998,62.419998,61.970001,62.290001,57.394955,655900
2019-02-06,62.310001,62.500000,62.090000,62.410000,57.505524,655900
2019-02-07,62.090000,62.259998,61.299999,61.689999,56.842106,1194900
2019-02-08,61.549999,61.680000,61.080002,61.590000,56.749966,898900
2019-02-11,61.660000,61.840000,61.320000,61.740002,56.888176,754000
2019-02-12,61.919998,62.099998,61.810001,61.939999,57.072460,811900
2019-02-13,62.070000,62.139999,61.630001,62.049999,57.173817,591100
2019-02-14,61.900002,62.040001,61.500000,61.790001,56.934242,762000
2019-02-15,61.820000,62.250000,61.619999,62.189999,57.302811,886800
2019-02-19,62.139999,62.540001,61.810001,62.340000,57.441029,923000
2019-02-20,62.310001,62.889999,62.259998,62.560001,57.643738,1590700
2019-02-21,62.560001,62.849998,62.430000,62.639999,57.717445,2099500
2019-02-22,62.610001,62.689999,62.220001,62.580002,57.662167,676100
2019-02-25,62.720001,62.990002,62.320000,62.520000,57.606880,943100
2019-02-26,62.330002,62.860001,62.270000,62.529999,57.616096,858700
2019-02-27,61.500000,62.250000,61.410000,62.130001,57.247532,1330100
2019-02-28,61.740002,62.480000,61.730000,62.090000,57.210674,2019500
2019-03-01,62.490002,62.570000,62.000000,62.160000,57.275169,831300
2019-03-04,62.110001,62.889999,62.110001,62.330002,57.431816,1373100
2019-03-05,62.439999,62.570000,61.880001,62.180000,57.293598,840000
2019-03-06,62.110001,62.310001,61.840000,62.000000,57.127743,1780000
2019-03-07,61.919998,62.180000,61.439999,61.849998,56.989529,1098100
2019-03-08,61.439999,61.849998,61.150002,61.610001,56.768394,907300
2019-03-11,61.639999,62.090000,61.470001,61.830002,56.971104,3983800
2019-03-12,61.950001,61.970001,61.459999,61.970001,57.100098,2794300
2019-03-13,61.990002,62.169998,61.549999,61.790001,56.934242,3208000
2019-03-14,61.799999,62.119999,61.630001,61.860001,56.998745,799500
2019-03-15,62.020000,62.540001,61.869999,62.279999,57.385742,3732500
2019-03-18,62.389999,62.759998,62.290001,62.650002,57.726665,848500
2019-03-19,62.799999,63.130001,62.480000,62.619999,57.699024,1697700
2019-03-20,62.509998,62.650002,62.240002,62.330002,57.431816,1193100
2019-03-21,62.099998,62.619999,61.810001,62.490002,57.579235,2027800
2019-03-22,61.500000,62.020000,61.169998,61.340000,57.113682,2939600
2019-03-25,61.049999,61.240002,60.459999,60.919998,56.722626,3990600
2019-03-26,60.950001,61.650002,60.790001,61.130001,56.918159,3222400
2019-03-27,61.029999,61.459999,60.700001,61.040001,56.834354,3291200
2019-03-28,61.000000,61.209999,60.570000,60.750000,56.564339,767700
2019-03-29,60.860001,60.860001,60.099998,60.310001,56.154655,1012900
2019-04-01,60.709999,61.419998,60.500000,61.290001,57.067139,1546400
2019-04-02,61.400002,61.680000,61.150002,61.439999,57.206795,799800
2019-04-03,61.560001,62.049999,61.560001,61.700001,57.448883,816300
2019-04-04,61.759998,62.270000,61.759998,61.799999,57.541996,921000
2019-04-05,61.810001,62.090000,61.740002,61.970001,57.700279,740600
2019-04-08,61.849998,61.939999,61.450001,61.770000,57.514061,1428200
2019-04-09,61.400002,62.040001,61.230000,61.810001,57.551308,761900
2019-04-10,61.889999,62.169998,61.889999,61.939999,57.672348,1539800
2019-04-11,61.990002,62.540001,61.959999,61.959999,57.690971,1166600
2019-04-12,62.299999,62.730000,62.230000,62.540001,58.231010,1107900
2019-04-15,62.549999,62.820000,62.509998,62.820000,58.491718,1054300
2019-04-16,62.840000,63.080002,62.740002,62.820000,58.491718,1412400
2019-04-17,62.910000,63.299999,62.860001,62.959999,58.622070,826900
2019-04-18,63.090000,63.500000,63.020000,63.310001,58.947960,1249500
2019-04-22,63.240002,63.439999,63.110001,63.439999,59.069000,484000
2019-04-23,63.389999,63.790001,63.299999,63.400002,59.031754,669100
2019-04-24,63.270000,63.369999,63.119999,63.320000,58.957264,694700
2019-04-25,63.200001,63.580002,62.970001,63.500000,59.124870,674500
2019-04-26,63.389999,63.619999,63.230000,63.599998,59.217979,1206800
2019-04-29,63.520000,63.860001,63.520000,63.599998,59.217979,753500
